Country,mined_raw_mat,Unit,2018,2019,2020,2021,2022
"Congo, D.R.",Tin,(t),8950,10990,14670,15750,27220
"Congo, D.R.",Zinc,(t),1047,1607,15305,16079,13578
"Congo, D.R.",Gold,(kg),36777,33752,29597,31421,29498
"Congo, D.R.",Silver,(kg),3400,3400,3400,3400,3400
"Congo, D.R.",Diam. (Gem),(ct),1815745,2020450,2588850,2594650,1948550
"Congo, D.R.",Diam. (Ind),(ct),13315465,11449240,10355400,10378700,8307100
"Congo, D.R.",Petroleum,(t),1144760,1113260,1191660,1170000,1149900
"Congo, Rep.",Iron,(t),10800,20200,3400,20200,20200
"Congo, Rep.",Copper,(t),18018,18760,10300,10845,7877
"Congo, Rep.",Zinc,(t),460,4830,1100,7500,20000
"Congo, Rep.",Gold,(kg),150,150,150,150,150
"Congo, Rep.",Diam. (Ind),(ct),46768,2963,11157,4125,3534
"Congo, Rep.",Nat. Gas,(Mio m3),867,622,809,1000,1000
"Congo, Rep.",Petroleum,(t),16740500,16749800,15280150,13446000,13161000
Costa Rica,Gold,(kg),3699,4500,600,647,790
Costa Rica,Diatomite,(t),3972,4000,4000,16462,14642
Cote d'Ivoire,Manganese,(t),319200,472700,530200,384500,371900
Cote d'Ivoire,Nickel,(t),12300,9900,20220,26460,27610
Cote d'Ivoire,Bauxite,(t),,0,272295,0,0
Cote d'Ivoire,Gold,(kg),24488,32568,38523,41855,48320
Cote d'Ivoire,Silver,(kg),510,300,956,1000,1000
Cote d'Ivoire,Diam. (Gem),(ct),4540,3989,4012,4121,3969
Cote d'Ivoire,Diam. (Ind),(ct),1140,0,0,0,0
Cote d'Ivoire,Nat. Gas,(Mio m3),1935,2171,2229,2373,2557
Cote d'Ivoire,Petroleum,(t),1607400,1799700,1451600,1196700,1268600
Croatia,Bauxite,(t),11776,14342,14084,14448,17749
Croatia,Gypsum,(t),211894,199255,221629,285966,278581
Croatia,Salt,(t),16453,93870,111901,111319,102671
Croatia,Nat. Gas,(Mio m3),1230,1029,849,746,745
Croatia,Petroleum,(t),706900,677200,593700,565700,548000
Cuba,Chromium,(t),10500,27000,14000,8500,4000
Cuba,Cobalt,(t),5000,3800,3900,3800,3600
